Movie Name,Release Year,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age
Harold and Maude,1971,Hal Ashby,52,Bud Cort,man,3/29/1948,23,Ruth Gordon,woman,1896-10-30,75
Venus,2006,Roger Michell,50,Peter O'Toole,man,8/2/1932,74,Jodie Whittaker,woman,6/3/1982,24
The Quiet American,2002,Phillip Noyce,49,Michael Caine,man,3/14/1933,69,Do Thi Hai Yen,woman,10/1/1982,20
The Big Lebowski,1998,Joel Coen,45,David Huddleston,man,9/17/1930,68,Tara Reid,woman,11/8/1975,23
Beginners,2010,Mike Mills,43,Christopher Plummer,man,12/13/1929,81,Goran Visnjic,man,9/9/1972,38
Poison Ivy,1992,Katt Shea,42,Tom Skerritt,man,8/25/1933,59,Drew Barrymore,woman,2/22/1975,17
Whatever Works,2009,Woody Allen,40,Larry David,man,7/2/1947,62,Evan Rachel Wood,woman,9/7/1987,22
Entrapment,1999,Jon Amiel,39,Sean Connery,man,8/25/1930,69,Catherine Zeta-Jones,woman,9/25/1969,30
Husbands and Wives,1992,Woody Allen,38,Woody Allen,man,12/1/1935,57,Juliette Lewis,woman,6/21/1973,19
Magnolia,1999,Paul Thomas Anderson,38,Jason Robards,man,7/26/1922,77,Julianne Moore,woman,12/3/1960,39
Indiana Jones and the Last Crusade,1989,Steven Spielberg,36,Sean Connery,man,8/25/1930,59,Alison Doody,woman,3/9/1966,23
Mr. Peabody and the Mermaid,1948,Irving Pichel,36,William Powell,man,1892-06-29,56,Ann Blyth,woman,8/16/1928,20
First Knight,1995,Jerry Zucker,35,Sean Connery,man,8/25/1930,65,Julia Ormond,woman,1/4/1965,30
Something's Gotta Give,2003,Nancy Meyers,35,Jack Nicholson,man,4/22/1937,66,Amanda Peet,woman,1/11/1972,31
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,Tom Wilkinson,man,2/5/1948,56,Kirsten Dunst,woman,4/30/1982,22
Lost in Translation,2003,Sofia Coppola,34,Bill Murray,man,9/21/1950,53,Scarlett Johansson,woman,11/22/1984,19
Shopgirl,2005,Anand Tucker,34,Steve Martin,man,8/14/1945,60,Claire Danes,woman,4/12/1979,26
Wild Target,2010,Jonathan Lynn,34,Bill Nighy,man,12/12/1949,61,Emily Blunt,woman,2/23/1983,27
"Fort Apache, The Bronx",1981,Daniel Petrie,33,Paul Newman,man,1/26/1925,56,Rachel Ticotin,woman,11/1/1958,23
Hollywood Ending,2002,Woody Allen,33,Woody Allen,man,12/1/1935,67,Debra Messing,woman,8/15/1968,34
The Mother,2003,Roger Michell,33,Anne Reid,woman,5/28/1935,68,Daniel Craig,man,3/2/1968,35
Daddy Long Legs,1955,Jean Negulesco,32,Fred Astaire,man,1899-05-10,56,Leslie Caron,woman,7/1/1931,24
Lolita,1997,Adrian Lyne,32,Jeremy Irons,man,9/19/1948,49,Dominique Swain,woman,8/12/1980,17
Mighty Aphrodite,1995,Woody Allen,32,Woody Allen,man,12/1/1935,60,Mira Sorvino,woman,9/28/1967,28
Stone,2010,John Curran,32,Robert De Niro,man,8/18/1943,67,Milla Jovovich,woman,12/17/1975,35
The Private Lives of Pippa Lee,2009,Rebecca Miller,32,Alan Arkin,man,3/26/1934,75,Robin Wright,woman,4/8/1966,43
Third Person,2013,Paul Haggis,32,Liam Neeson,man,6/7/1952,61,Olivia Wilde,woman,3/10/1984,29
